ISIN,name,fecha_act,vl,moneda,var_dia_%,2015,2016,2017,2018,2019,cat
FR0010148981,Carmignac Investissement A EUR Acc,27/09/2019,1209.07,EUR,-0.0085,0.013000000000000001,0.021,0.048,-0.142,0.172,RV Global Cap. Grande Growth
FR0010135103,Carmignac Patrimoine A EUR Acc,27/09/2019,617.12,EUR,-0.0048,0.006999999999999999,0.039,0.001,-0.113,0.07200000000000001,Mixtos Moderados EUR - Global
FR0010149120,Carmignac Sécurité A EUR Acc,27/09/2019,1760.1,EUR,-0.0001,0.011000000000000001,0.021,0.0,-0.03,0.034,RF Diversificada Corto Plazo EUR
LU0336083497,Carmignac Portfolio Unconstrained Global Bond A EUR Acc,27/09/2019,1473.93,EUR,-0.0001,0.033,0.095,0.001,-0.037000000000000005,0.083,RF Global
LU0034353002,DWS Floating Rate Notes LC,27/09/2019,84.01,EUR,0.0,-0.002,0.006999999999999999,0.003,-0.013999999999999999,0.009000000000000001,RF Ultra Corto Plazo EUR
ES0165947005,FCS Gestión Flexible FI,27/09/2019,10.37,EUR,0.0012,0.018000000000000002,0.019,0.027000000000000003,-0.052000000000000005,0.031,Mixtos Flexibles EUR - Global
LU0251131958,Fidelity Funds - America Fund A-Acc-USD,27/09/2019,23.49,USD,0.0037,0.122,0.125,-0.039,-0.022000000000000002,0.096,RV USA Cap. Grande Value
LU0267388220,Fidelity Funds - Euro Short Term Bond Fund A-Acc-EUR,27/09/2019,26.02,EUR,0.0003,0.005,0.015,0.002,-0.017,0.03,RF Diversificada Corto Plazo EUR
LU0119124864,Fidelity Funds - European Dynamic Growth Fund E-Acc-EUR,27/09/2019,58.28,EUR,0.0026,0.23399999999999999,-0.015,0.142,-0.057,0.27399999999999997,RV Europa Cap. Grande Growth
LU0261948904,Fidelity Funds - Iberia Fund A-Acc-EUR,27/09/2019,16.91,EUR,0.0024,0.155,-0.051,0.145,-0.1,0.115,RV España
LU0197229882,Fidelity Funds - India Focus Fund A-USD,27/09/2019,48.36,USD,-0.0005,0.076,0.021,0.225,-0.01,0.022000000000000002,RV India
LU0109394709,Franklin Biotechnology Discovery Fund A(acc)USD,27/09/2019,28.11,USD,-0.0125,0.16899999999999998,-0.154,0.027000000000000003,-0.121,0.157,RV Sector Biotecnología
LU1147470683,Franklin Diversified Conservative Fund A(acc)EUR,27/09/2019,13.25,EUR,0.0,0.002,0.006999999999999999,0.013999999999999999,-0.085,0.059000000000000004,Mixtos Defensivos EUR - Global
LU1093756242,Franklin K2 Alternative Strategies Fund A(acc)EUR-H1,27/09/2019,10.47,EUR,-0.001,-0.005,0.016,0.028999999999999998,-0.055,0.039,Alt - Multiestrategia
LU0211331839,Franklin Mutual Global Discovery Fund A(acc)USD,27/09/2019,19.55,USD,0.001,0.045,0.127,-0.021,-0.095,0.142,RV Global Cap. Grande Value
LU0109391861,Franklin U.S. Opportunities Fund A(acc)USD,27/09/2019,17.87,USD,-0.016,0.168,0.005,0.115,0.031,0.299,RV USA Cap. Flexible
LU0571101715,G Fund Alpha Fixed Income IC EUR,27/09/2019,1097.14,EUR,0.0001,0.012,0.017,0.006999999999999999,-0.018000000000000002,0.018000000000000002,Alt - Crédito Long/Short
FR0000990038,Groupama Avenir Euro I,27/09/2019,11976.92,EUR,0.005,0.426,0.032,0.31,-0.152,0.22399999999999998,RV Zona Euro Cap. Mediana
FR0012599645,Groupama Ultra Short Term Bond IC,27/09/2019,10015.58,EUR,0.0,-,0.003,0.0,-0.003,0.001,RF Ultra Corto Plazo EUR
LU1004132566,Invesco Funds - Invesco Global Targeted Returns Fund A Accumulation EUR,30/09/2019,10.6,EUR,0.0001,0.01,0.015,-0.006999999999999999,-0.055999999999999994,0.013000000000000001,Alt - Multiestrategia
LU0243957312,Invesco Funds - Invesco Pan European High Income Fund A Quarterly Distribution EUR,30/09/2019,14.43,EUR,0.0,0.023,0.053,0.059000000000000004,-0.065,0.08800000000000001,Mixtos Defensivos EUR
LU0100598282,Invesco Funds - Invesco Pan European Equity Fund C Accumulation EUR,30/09/2019,21.74,EUR,0.0018,0.081,0.013999999999999999,0.09,-0.141,0.040999999999999995,RV Europa Cap. Grande Blend
LU0289214628,JPMorgan Funds - Europe Equity Plus Fund D (perf) (acc) - EUR,27/09/2019,15.45,EUR,0.0039000000000000003,0.142,-0.021,0.099,-0.149,0.134,RV Europa Cap. Grande Blend
LU0323456466,JPMorgan Investment Funds - Income Opportunity Fund A (perf) (acc) - USD,27/09/2019,196.12,USD,-0.0008,0.08,0.105,-0.1,0.048,0.07,RF Flexible USD
LU0289470113,JPMorgan Investment Funds - Income Opportunity Fund A (perf) (acc) - EUR (hedged),27/09/2019,135.45,EUR,-0.0005,-0.035,0.063,0.006,-0.028999999999999998,0.01,RF Otros
LU0176037959,JPMorgan Liquidity Funds - USD Treasury VNAV Fund D (acc.),27/09/2019,10321.25,USD,-0.0004,0.114,0.03,-0.11900000000000001,0.063,0.05,Mercado Monetario Corto Plazo USD
LU0070214290,JPMorgan Investment Funds - US Select Equity Fund A (acc) - USD,27/09/2019,382.29,USD,-0.0012,0.095,0.12,0.054000000000000006,-0.03,0.21600000000000003,RV USA Cap. Grande Blend
IE00B19Z9Z06,Legg Mason ClearBridge US Aggressive Growth Fund Class A US$ Accumulating,27/09/2019,191.14,USD,-0.0055000000000000005,0.055999999999999994,0.069,-0.005,-0.048,0.139,RV USA Cap. Grande Growth
IE00B19Z4C24,Legg Mason Royce US Small Cap Opportunity Fund Class A Euro Accumulating,27/09/2019,209.94,EUR,-0.0102,-0.04,0.33,0.06,-0.177,0.141,RV USA Cap. Pequeña
IE00B23Z7J34,Legg Mason Western Asset Global Multi Strategy Fund Class A Euro Accumulating (Hedged),27/09/2019,143.84,EUR,0.0004,-0.057,0.10099999999999999,0.046,-0.076,0.063,RF Flexible Global-EUR Cubierto
IE00BHBFD143,Legg Mason Western Asset Macro Opportunities Bond Fund Class A Euro Accumulating (Hedged),27/09/2019,121.99,EUR,0.0011,0.009000000000000001,0.05,0.11199999999999999,-0.084,0.040999999999999995,Alt - Crédito Long/Short
LU1670724373,M&G (Lux) Investment Funds 1 - M&G (Lux) Optimal Income Fund A EUR Acc,30/09/2019,10.28,EUR,-0.0001,-0.016,0.07,0.043,-0.04,0.045,Mixtos Defensivos EUR - Global
